GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
570504382,20160818,POLICE,SCHOOL,4,2,1,-5.98052851182197,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://www.straitstimes.com/singapore/courts-crime/benjamin-lim-case-coroner-suggests-school-counsellor-could-accompany-minor-to
570505873,20160818,SINGAPORE,SCHOOL,4,8,1,-5.98052851182197,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://www.straitstimes.com/singapore/courts-crime/benjamin-lim-case-coroner-suggests-school-counsellor-could-accompany-minor-to
570705549,20160819,POLICE,SCHOOL,4,2,1,-8.02568218298555,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/benjamin-lims-death-suicide-coroner
570706325,20160819,SINGAPORE,SCHOOL,4,8,1,-8.02568218298555,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/benjamin-lims-death-suicide-coroner
542699317,20160522,SINGAPORE,WORKER,4,4,1,-12.1951219512195,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=1a69022770ef41e497ac03e95b2bf94e&t=85895
561638432,20160720,MINIST OF FOREIGN AFFAIRS,SINGAPOREAN,4,5,1,-5.58659217877095,1.3667,103.8,Singapore,http://news.asiaone.com/news/singapore/sutd-student-injured-nice-terror-attack-has-passed-critical-period
561164380,20160718,SELANGOR,SINGAPORE,4,2,1,-3.59435173299101,1.25,103.827,"Sentosa, Singapore (general), Singapore",http://www.straitstimes.com/singapore/malls-crowded-places-advised-to-gear-up-for-terror-threats
557115616,20160706,EMPLOYEE,INVESTOR,4,5,1,0.0,1.3667,103.8,Singapore,http://wildsingaporenews.blogspot.com/2016/07/sustainability-reports-boost-singapores.html
567326738,20150809,SOUTHEAST ASIA,BANK,4,10,1,1.9704433497537,1.3667,103.8,Singapore,http://www.4-traders.com/DBS-GROUP-HOLDINGS-LTD-6491408/news/DBS-Reports-Profit-Falls-but-Beats-Estimates-22865138/
547653673,20160606,SINGAPORE,INDONESIAN,4,2,1,1.90718372536554,1.35389,103.891,"Paya Lebar, Singapore (general), Singapore",http://breakingdefense.com/2016/06/poseidon-in-singapore-the-p-8-south-china-sea-strategy/
560921872,20160718,JAFFNA,STUDENT,4,8,1,-5.00782472613459,1.3667,103.8,Singapore,http://mawbima.lk/31-113170-news-detail.html
561205837,20160719,SELANGOR,SINGAPORE,4,2,1,-4.54545454545455,1.28333,103.833,"Tanjong Pagar, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/police-work-malls-boost-anti-terror-vigilance
556695192,20160705,MEDINA,SUICIDE BOMBER,4,10,1,-8.64197530864198,1.3667,103.8,Singapore,http://www.beritaharian.sg/dunia/4-maut-dalam-3-pengeboman-bunuh-diri-di-saudi-termasuk-dekat-masjid-nabi
549523153,20160612,WORKER,SINGAPORE,4,10,1,-2.75590551181103,1.32139,103.657,"Tuas, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/mom-probes-claims-foreign-worker-was-locked-boss
546394441,20160602,SINGAPORE,ROBBER,4,4,1,-7.36196319018405,1.3667,103.8,Singapore,http://www.bhorerbarta.com/%E0%A6%B8%E0%A6%96%E0%A6%BF%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A7%9F-%E0%A6%97%E0%A6%BE%E0%A6%9B-%E0%A6%AB%E0%A7%87%E0%A6%B2%E0%A7%87/
558631210,20160711,SINGAPORE,POLICE,4,2,1,-6.78466076696165,1.43333,103.831,"Yishun, Singapore (general), Singapore",http://news.asiaone.com/news/crime/yishun-death-mother-man-arrested-made-four-police-reports-against-deceased
