GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
413939708,20150303,DELHI,GANG,4,2,1,-7.84313725490196,1.3667,103.8,Singapore,http://www.thefrontierpost.com/article/246894//
420161668,20150325,PARLIAMENT HOUSE,SINGAPORE,4,2,1,1.69491525423729,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/he-cared-people-and-gave-us-better-life
413204956,20150228,SCHOOL,SINGAPORE,4,5,1,-5.32837670384139,1.3667,103.8,Singapore,http://metronews.ca/news/canada/1300166/canadian-teacher-accused-of-sex-abuse-in-indonesia-wins-libel-suit/
415086648,20150307,GANG,DELHI,4,1,1,-10.801393728223,1.3667,103.8,Singapore,http://www.daijiworld.com/news/news_disp.asp?n_id=302152
413927436,20150303,GANG,AUTHORITIES,4,2,1,-8.00524934383203,1.3667,103.8,Singapore,http://www.dawn.com/news/1167114/delhi-gang-rape-case-indian-authorities-seek-stay-against-airing-of-documentary
414629311,20150305,GOVERNMENT,GANG,4,5,1,-2.78884462151394,1.3667,103.8,Singapore,http://www.singaporestar.com/index.php/sid/230804523
417898341,20150317,SINGAPORE,POLICE,4,4,1,-6.44870349492672,1.32028,103.802,"Victoria Park, Singapore (general), Singapore",http://www.priyo.com/2015/03/18/138821-%E0%A6%A6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%98-%E0%A6%B9%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%B0-%E0%A6%AE%E0%A6%BF%E0%A6%9B%E0%A6%BF%E0%A6%B2
420657784,20150327,MINNESOTA,JAPANESE,4,6,1,-0.98643649815043,1.3667,103.8,Singapore,http://kotaku.com/the-real-story-behind-kumiko-the-treasure-hunter-1694010461
419369731,20150323,HOSPITAL,MINIST,4,10,1,-1.60256410256411,1.3667,103.8,Singapore,http://www.el-balad.com/1450063
413928083,20150303,DELHI,AUTHORITIES,4,2,1,-8.00524934383203,1.3667,103.8,Singapore,http://www.dawn.com/news/1167114/delhi-gang-rape-case-indian-authorities-seek-stay-against-airing-of-documentary
414714775,20150306,NEW DELHI,GANG,4,5,1,-7.70642201834863,1.3667,103.8,Singapore,http://www.daijiworld.com/news/news_disp.asp?n_id=301803
415143330,20150307,GANG,STUDENT,4,8,1,-6.57223796033994,1.3667,103.8,Singapore,http://www.dailymail.co.uk/indiahome/indianews/article-2984376/Rapists-s-lawyer-Singh-faces-sack-claiming-banning-Valentines-Day-prevent-rape.html
414146590,20150304,CHIEF JUSTICE,SINGAPORE,4,2,1,-10.6628242074928,1.3667,103.8,Singapore,http://www.straitstimes.com:80/news/singapore/courts-crime/story/caning-constitutional-court-appeal-rules-drug-traffickers-case-201
413928089,20150303,DELHI,AUTHORITIES,4,1,1,-8.00524934383203,1.3667,103.8,Singapore,http://www.dawn.com/news/1167114/delhi-gang-rape-case-indian-authorities-seek-stay-against-airing-of-documentary
414146717,20150304,MALE,GANG,4,5,1,-6.96452036793692,1.3667,103.8,Singapore,http://www.ibtimes.com/delhi-gang-rape-case-2012-india-bans-broadcast-controversial-bbc-documentary-1835318
411624004,20150223,DELHI,GANG,4,6,1,-6.80473372781065,1.3667,103.8,Singapore,http://aajtak.intoday.in/story/gangrape-victim-dies-in-singapore-body-being-flown-back-to-delhi-1-717210.html
415087055,20150307,NEW DELHI,GANG,4,5,1,-10.801393728223,1.3667,103.8,Singapore,http://www.daijiworld.com/news/news_disp.asp?n_id=302152
413204951,20150228,SCHOOL,HIGH COURT,4,5,1,-5.32837670384139,1.3667,103.8,Singapore,http://metronews.ca/news/canada/1300166/canadian-teacher-accused-of-sex-abuse-in-indonesia-wins-libel-suit/
