GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
637051392,20170315,ACTIVIST,GANG,4,5,1,-9.36170212765955,1.3667,103.8,Singapore,http://odishasamaya.com/india/four-convicts-must-be-hanged-and-the-juvenile-should-be-in-jailnirbhayas-mother/67507/
637489611,20170316,MYANMAR,MUSLIM,4,10,1,-9.39849624060148,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=564d84c8146f1eef723adcc43f85cc63&p=1959588
637775746,20170317,MYANMAR,MUSLIM,4,10,1,-9.54063604240287,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=37b8f7d5a2ede7d859bb6d7f1a60efc9&p=1959815
637820778,20170317,MYANMAR,SINGAPORE,4,10,1,-6.38297872340425,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=88105c537ef8a1302e2d0954c006b5a2&t=92348&page=3
603518152,20161129,GANG,UTTAR PRADESH,4,20,1,-4.06609195402299,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=8ad7ca7759a02edb0487c55b1192a875&p=1922051
603557028,20161129,GANG,SINGAPORE,4,4,1,-4.34280291308204,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=545a58e62641b5b71dfe98a425dbe622&t=90282
603844713,20161130,GANG,UTTAR PRADESH,4,20,1,-4.15884194053208,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=faa7e156a0a919f34e7130669c4d84ce&t=90282
603891943,20161130,SINGAPORE,BANGLADESH,4,2,1,-3.95256916996047,1.3667,103.8,Singapore,http://www.gulf-times.com/story/522994/Myanmar-s-Suu-Kyi-vows-reconciliation-amid-Rohingy
604003266,20161130,MEDIA,SERVICEMAN,4,7,1,-3.35570469798657,1.44444,103.824,"Chong Pang, Singapore (general), Singapore",http://mothership.sg/2016/12/saf-regular-serviceman-dies-after-being-found-at-foot-of-building-in-chong-pang-camp/
601248442,20161121,CHINESE,CHINA,4,4,1,-10.4,1.3667,103.8,Singapore,http://saharareporters.com/2016/11/21/2000-nigerians-are-being-tortured-chinese-prison-former-prisoner-says
601554361,20161122,MALAYSIA,INDONESIA,4,4,1,-2.4822695035461,1.3667,103.8,Singapore,http://www.malaysiasun.com/index.php/sid/249608835
601554363,20161122,MALAYSIA,SURABAYA,4,6,1,-2.4822695035461,1.3667,103.8,Singapore,http://www.malaysiasun.com/index.php/sid/249608835
590487201,20161019,SCHOOL,SINGAPORE,4,4,1,0.0,1.37972,103.765,"Bukit Panjang, Singapore (general), Singapore",http://www.theonlinecitizen.com/2016/10/19/moe-trained-counsellors-to-support-students-with-psychological-and-mental-health-related-issues/
590523235,20161019,STUDENT,SINGAPORE,4,10,1,-5.71428571428571,1.3667,103.8,Singapore,http://www.kosmo.com.my/kosmo/content.asp?y=2016&dt=1019&pub=Kosmo&sec=Terkini&pg=bt_23.htm
590708876,20161019,FIGHTER,MALAYSIA,4,10,1,-2.64550264550264,1.3667,103.8,Singapore,http://dailycaller.com/2016/10/19/southeast-asia-anxious-as-strike-against-last-isis-stronghold-begins/
619649061,20170122,GANG,DELHI,4,1,1,-10.3260869565217,1.3667,103.8,Singapore,http://www.sify.com/news/dec-16-gang-rape-sc-to-hear-convicts-plea-challenging-delhi-hc-order-news-national-rbxcKfacdiegj.html
619736819,20170123,EMPLOYER,MINISTRY,4,10,1,-5.5205047318612,1.32194,103.848,"Tan Tock Seng Hospital, Singapore (general), Singapore",http://dev.thedailystar.net/country/injured-bangladeshi-worker-unable-recover-9k-boss-1349587
643592119,20160405,POLICE,AHMAD ZAHID HAMIDI,4,10,1,-5.2930056710775,1.3667,103.8,Singapore,http://www.malaysiakini.com/news/378062
643841844,20170405,ST PETERSBURG,TERRORIST,4,4,1,-7.91788856304985,1.3667,103.8,Singapore,http://theiranproject.com/blog/2017/04/05/irans-coverage-iran-condemns-suspected-chemical-attack-in-syria-offers-help/
607004673,20161209,POLICE,SINGAPORE,4,5,1,-4.13793103448276,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=18c231a4161d26d35ce0bb82b70731d5&t=90511
607054862,20161210,POLICE,SINGAPORE,4,10,1,-4.08163265306122,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=f96c7eb8a0197ad2de3fa3cb6baaf399&t=90511&page=2
615252157,20170109,UNIVERSITY,MALE,4,10,1,-1.98915009041591,1.3667,103.8,Singapore,http://www.news-mail.com.au/news/paramedics-respond-multiple-incidents-across-state/3129735/
615660867,20170110,HUNTER,MALE,4,10,1,-9.21985815602837,1.3667,103.8,Singapore,http://www.nbnnews.com.au/2017/01/10/young-woman-dead-in-horrific-multi-car-crash/
684291014,20170826,WARSHIP,OIL TANKER,4,10,1,-4.0084388185654,1.366667,103.8,Singapore,http://celebcafe.org/aucoin-removed-from-command-of-seventh-fleet-7933/
684653705,20170828,SINGAPORE,SINGAPORE,4,10,1,-6.95652173913043,1.366667,103.8,Singapore,http://www.live5news.com/story/36228228/us-navy-recovers-remaining-uss-john-s-mccain-sailors-aboard-ship
684676906,20170828,WARSHIP,THE US,4,10,1,-3.87596899224806,1.366667,103.8,Singapore,http://www.seatrade-maritime.com/news/asia/us-navy-recovers-bodies-of-all-10-sailors-missing-in-uss-john-s-mccain-tanker-collision.html
684715915,20170828,NAVAL,SINGAPORE,4,10,1,-7.63358778625955,1.366667,103.8,Singapore,http://www.zazoom.it/2017-08-28/sono-stati-trovati-i-corpi-dei-10-soldati-americani-morti-nellincidente-navale-a-singapore-di-una-settimana-fa/3267014/
684716185,20170828,SINGAPORE,MILITARY,4,10,1,-5.96026490066225,1.366667,103.8,Singapore,http://www.ilpost.it/2017/08/28/incidente-singapore-uss-john-mccain/
626554769,20170211,SINGAPORE,POLICE,4,2,1,-6.47773279352226,1.3667,103.8,Singapore,http://world.einnews.com/article/366101121/live
665333588,20170616,US OFFICIAL,MALAYSIAN,4,6,1,-3.86803185437997,1.3275,103.932,"Geylang, Singapore (general), Singapore",http://sea-globe.com/1mdb-update-thailand-revolt-remembrance-myanmar-memes/
665388069,20170616,SINGAPORE,GOVERNMENT,4,6,1,-6.89655172413793,1.34167,103.964,"Changi, Singapore (general), Singapore",http://wildshores.blogspot.com/2017/06/large-fish-traps-in-singapore.html
665388070,20170616,SINGAPORE,MEDIA,4,2,1,-6.89655172413793,1.34167,103.964,"Changi, Singapore (general), Singapore",http://wildshores.blogspot.com/2017/06/large-fish-traps-in-singapore.html
664606318,20170614,GANG,VIRGINIA,4,10,1,-6.26398210290828,1.3667,103.8,Singapore,https://www.thecollegefix.com/post/33525/
653853474,20170508,HOSPITAL,SINGAPOREAN,4,7,1,-6.32911392405063,1.3667,103.8,Singapore,http://www.theage.com.au/queensland/police-hunting-singaporean-man-after-bashing-of-woman-in-brisbane-20170508-gw0hto.html
