GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
413419768,20150302013000,20150302193000,1,cosmeticsdesign-asia.com,http://www.cosmeticsdesign-asia.com/Market-Trends/Singapore-based-hair-salons-turn-to-Gamurai-for-creative-tech-solutions,8,2498,-1,2526,1,70,2595,2.88461538461539,,
413547155,20150302131500,20150302193000,1,cosmeticsdesign-asia.com,http://www.cosmeticsdesign-asia.com/Market-Trends/Singapore-based-hair-salons-turn-to-Gamurai-for-creative-tech-solutions,8,2477,2491,2519,0,30,2595,2.88461538461539,,
413638617,20150302193000,20150302193000,1,cosmeticsdesign-asia.com,http://www.cosmeticsdesign-asia.com/Market-Trends/Singapore-based-hair-salons-turn-to-Gamurai-for-creative-tech-solutions,2,-1,799,783,1,100,2595,2.88461538461539,,
413639875,20150302193000,20150302193000,1,cosmeticsdesign-asia.com,http://www.cosmeticsdesign-asia.com/Market-Trends/Singapore-based-hair-salons-turn-to-Gamurai-for-creative-tech-solutions,2,799,-1,783,1,100,2595,2.88461538461539,,
413638618,20150302193000,20150302193000,1,cosmeticsdesign-asia.com,http://www.cosmeticsdesign-asia.com/Market-Trends/Singapore-based-hair-salons-turn-to-Gamurai-for-creative-tech-solutions,2,-1,799,851,1,100,2595,2.88461538461539,,
425827466,20150416061500,20150416091500,1,campaignasia.com,"http://www.campaignasia.com/Article/396547,Leo+Burnett+Singapore+appointed+creative+agency+of+record+by+GEMS+World+Academy.aspx",2,444,-1,355,1,30,1874,6.37583892617449,,
425828489,20150416061500,20150416091500,1,campaignasia.com,"http://www.campaignasia.com/Article/396547,Leo+Burnett+Singapore+appointed+creative+agency+of+record+by+GEMS+World+Academy.aspx",2,390,444,355,1,30,1874,6.37583892617449,,
425828488,20150416061500,20150416091500,1,campaignasia.com,"http://www.campaignasia.com/Article/396547,Leo+Burnett+Singapore+appointed+creative+agency+of+record+by+GEMS+World+Academy.aspx",2,425,438,351,0,20,1874,6.37583892617449,,
425827467,20150416061500,20150416091500,1,campaignasia.com,"http://www.campaignasia.com/Article/396547,Leo+Burnett+Singapore+appointed+creative+agency+of+record+by+GEMS+World+Academy.aspx",2,444,390,355,1,30,1874,6.37583892617449,,
432188922,20150511003000,20150511044500,1,campaignasia.com,"http://www.campaignasia.com/Article/397324,YR+Singapore+appoints+Komal+Bedi+Sohal+as+chief+creative+officer.aspx",8,-1,2146,2135,0,10,2765,5.27383367139959,,
432189980,20150511003000,20150511044500,1,campaignasia.com,"http://www.campaignasia.com/Article/397324,YR+Singapore+appoints+Komal+Bedi+Sohal+as+chief+creative+officer.aspx",8,2146,-1,2135,0,20,2765,5.27383367139959,,
