GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
459262894,20150820020000,20150820020000,1,wn.com,http://article.wn.com/view/2015/08/19/Award_winner_Ilo_Ilo_headlines_Singapore_film_festival_in_Ho/,9,4488,-1,4465,1,100,5169,2.32858990944373,,
461600989,20150828004500,20150828193000,1,phayul.com,http://www.phayul.com/news/article.aspx?id=36425&article=Maiden+Tibet+film+festival+to+open+in+Singapore,7,1648,-1,1658,0,40,2460,3.5264483627204,,
461786931,20150828151500,20150828193000,1,phayul.com,http://www.phayul.com/news/article.aspx?id=36425&article=Maiden+Tibet+film+festival+to+open+in+Singapore,4,958,-1,979,1,100,2460,3.5264483627204,,
468534151,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,4,1943,1964,1922,1,100,2982,0.84388185654009,,
468534561,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,1,917,-1,996,0,10,2982,0.84388185654009,,
468533500,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,2,1497,-1,1447,1,40,2982,0.84388185654009,,
468534562,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,1,835,-1,975,1,60,2982,0.84388185654009,,
468534564,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,3,1556,-1,1508,0,20,2982,0.84388185654009,,
468533495,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,2,-1,1497,1447,0,10,2982,0.84388185654009,,
468534152,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,4,1943,1977,1922,1,60,2982,0.84388185654009,,
468533495,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,2,-1,1497,1447,0,10,2982,0.84388185654009,,
468534563,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,3,1556,-1,1508,1,80,2982,0.84388185654009,,
468533499,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,2,1497,-1,1447,0,10,2982,0.84388185654009,,
468534561,20150920080000,20150920081500,1,ptinews.com,http://www.ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,1,917,-1,996,0,10,2982,0.84388185654009,,
468534152,20150920080000,20150920093000,1,ptinews.com,http://ptinews.com/news/6520011_Diwali-festival-begins-in-Singapore-s-Little-India-.html,4,1943,1977,1922,1,60,2982,0.84388185654009,,
