GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
487841373,20151124064500,20151124073000,1,thehansindia.com,http://www.thehansindia.com/posts/index/2015-11-24/ModiInSingapore-Oceans-space-and-cyberworld-should-not-become-new-theatres-of-contest--188559,12,2717,-1,2732,0,10,3321,0.18148820326679,,
487840717,20151124064500,20151124073000,1,thehansindia.com,http://www.thehansindia.com/posts/index/2015-11-24/ModiInSingapore-Oceans-space-and-cyberworld-should-not-become-new-theatres-of-contest--188559,9,2442,2503,2467,1,100,3321,0.18148820326679,,
487841372,20151124064500,20151124073000,1,thehansindia.com,http://www.thehansindia.com/posts/index/2015-11-24/ModiInSingapore-Oceans-space-and-cyberworld-should-not-become-new-theatres-of-contest--188559,12,2717,-1,2732,1,40,3321,0.18148820326679,,
762913669,20180609103000,20180609103000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtel-donates-S-10-million-to-Esplanade-s-new-waterfront-theatre-26743889/,1,0,31,39,1,50,3033,5.74468085106383,,
762913489,20180609103000,20180609103000,1,4-traders.com,http://www.4-traders.com/SINGAPORE-TELECOMMUNICATI-6491140/news/Singapore-Telecommunications-Singtel-donates-S-10-million-to-Esplanade-s-new-waterfront-theatre-26743889/,5,1419,-1,1437,1,50,3033,5.74468085106383,,
