GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
411738932,20150224001500,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2009,1895,1937,0,20,2127,4.70219435736677,,
411738931,20150224001500,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1895,2009,1937,0,20,2127,4.70219435736677,,
411883108,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2009,2037,1947,0,20,2127,4.70219435736677,,
411884768,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1895,1988,1916,1,30,2127,4.70219435736677,,
411883275,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,4,-1,637,618,0,20,2127,4.70219435736677,,
411884763,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,1,116,155,139,0,40,2127,4.70219435736677,,
411884765,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,1,116,155,139,0,20,2127,4.70219435736677,,
411884769,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1988,1895,1916,1,30,2127,4.70219435736677,,
411884767,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1988,2022,1930,1,30,2127,4.70219435736677,,
411883111,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1895,1988,1916,1,30,2127,4.70219435736677,,
411883110,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2009,1895,1937,0,20,2127,4.70219435736677,,
411883109,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1988,2022,1930,1,30,2127,4.70219435736677,,
411884001,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,2,306,265,245,1,60,2127,4.70219435736677,,
411883105,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2037,2009,1947,0,20,2127,4.70219435736677,,
411883112,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1988,1895,1916,1,30,2127,4.70219435736677,,
411884401,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,4,716,637,618,1,80,2127,4.70219435736677,,
411883106,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2022,1988,1930,1,30,2127,4.70219435736677,,
411884405,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2022,1988,1930,1,30,2127,4.70219435736677,,
411883107,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,1895,2009,1937,0,20,2127,4.70219435736677,,
411884766,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2009,2037,1947,0,20,2127,4.70219435736677,,
411884002,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,2,306,265,245,0,40,2127,4.70219435736677,,
411884000,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,2,306,389,336,1,100,2127,4.70219435736677,,
411884402,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,9,2037,2009,1947,0,20,2127,4.70219435736677,,
411884764,20150224120000,20150224120000,1,defence.lk,http://www.defence.lk/new.asp?fname=Singapore_to_extend_fullest_cooperation_to_SriLanka_20150224_05,1,116,155,139,1,40,2127,4.70219435736677,,
412205788,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,947,984,961,0,40,2266,1.15273775216139,,
412205787,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,947,984,961,1,60,2266,1.15273775216139,,
412205789,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,947,984,921,1,60,2266,1.15273775216139,,
412204613,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,984,947,961,0,40,2266,1.15273775216139,,
412204612,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,984,947,961,1,60,2266,1.15273775216139,,
412205790,20150225114500,20150225114500,1,4-traders.com,http://www.4-traders.com/TAKEDA-PHARMACEUTICAL-CO-6491073/news/Takeda-Pharmaceutical--expands-pharma-operations-in-Singapore-19927368/,1,947,984,921,0,40,2266,1.15273775216139,,
413804079,20150303083000,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,5,601,-1,616,1,100,1239,2.13903743315508,,
413826773,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,325,345,316,0,20,1239,2.13903743315508,,
413826774,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,1,0,11,21,1,50,1239,2.13903743315508,,
413826399,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,7,960,1060,978,1,50,1239,2.13903743315508,,
413826775,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,325,306,316,0,20,1239,2.13903743315508,,
413825662,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,5,-1,601,741,1,50,1239,2.13903743315508,,
413826782,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,325,363,316,1,30,1239,2.13903743315508,,
413826396,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,7,960,-1,978,1,50,1239,2.13903743315508,,
413826780,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,345,325,316,0,20,1239,2.13903743315508,,
413826986,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,306,325,316,0,20,1239,2.13903743315508,,
413826778,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,363,325,316,1,60,1239,2.13903743315508,,
413826781,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,3,325,363,316,1,30,1239,2.13903743315508,,
413826286,20150303101500,20150303101500,1,en.vietnamplus.vn,http://en.vietnamplus.vn/Home/Malaysia-Singapore-agree-to-step-up-defence-cooperation/20153/62193.vnplus,5,601,-1,741,1,50,1239,2.13903743315508,,
