GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
413007801,20150228000000,20150228100000,1,ptinews.com,http://www.ptinews.com/news/5742895_Indians-in-Singapore-start-early-Holi-festivities-.html,1,140,-1,164,1,100,504,4.0,,
413029822,20150228011500,20150228100000,1,ptinews.com,http://www.ptinews.com/news/5742895_Indians-in-Singapore-start-early-Holi-festivities-.html,1,140,-1,243,1,100,504,4.0,,
419256110,20150323000000,20150323001500,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/People/2015/03/23/Lee-Kuan-Yew-Feared-founder-of-modern-Singapore/,3,1246,1220,1239,1,100,4571,-3.15374507227332,,
419255507,20150323000000,20150323001500,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/People/2015/03/23/Lee-Kuan-Yew-Feared-founder-of-modern-Singapore/,10,3624,-1,3611,1,100,4571,-3.15374507227332,,
419260557,20150323001500,20150323001500,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/People/2015/03/23/Lee-Kuan-Yew-Feared-founder-of-modern-Singapore/,1,72,129,85,1,100,4571,-3.15374507227332,,
419944728,20150325060000,20150325060000,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/Entertainment/Arts/Frame-Up/2015/03/25/First-Malaysian-to-be-featured-in-Singapore-designer-showcase/,1,404,417,447,1,100,4228,6.11111111111111,,
419944550,20150325060000,20150325060000,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/Entertainment/Arts/Frame-Up/2015/03/25/First-Malaysian-to-be-featured-in-Singapore-designer-showcase/,4,1023,-1,1106,1,80,4228,6.11111111111111,,
419944551,20150325060000,20150325060000,1,thestar.com.my,http://www.thestar.com.my/Lifestyle/Entertainment/Arts/Frame-Up/2015/03/25/First-Malaysian-to-be-featured-in-Singapore-designer-showcase/,4,1023,-1,1120,0,20,4228,6.11111111111111,,
421024430,20150329003000,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,14,5206,-1,5264,1,40,5380,3.36700336700337,,
421111628,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,468,-1,533,0,20,5380,3.36700336700337,,
421111630,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1451,1598,1622,0,10,5380,3.36700336700337,,
421111613,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1539,1564,1575,1,20,5380,3.36700336700337,,
421111631,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1435,1582,1606,0,10,5380,3.36700336700337,,
421110672,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,12,4719,4811,4738,1,100,5380,3.36700336700337,,
421111627,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,484,-1,495,0,10,5380,3.36700336700337,,
421111629,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,597,-1,533,0,20,5380,3.36700336700337,,
421111468,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1551,1564,1575,1,20,5380,3.36700336700337,,
421111605,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,14,5206,-1,5264,0,10,5380,3.36700336700337,,
421111902,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1503,-1,1598,0,20,5380,3.36700336700337,,
421111538,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1513,1564,1575,1,20,5380,3.36700336700337,,
421111180,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1527,1564,1575,1,20,5380,3.36700336700337,,
421111906,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1503,1564,1575,1,40,5380,3.36700336700337,,
421111626,20150329114500,20150329114500,1,phuketgazette.net,http://phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,468,-1,479,0,10,5380,3.36700336700337,,
421269696,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1507,1558,1569,1,10,5292,3.45224395857308,,
421269794,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,549,-1,535,0,30,5292,3.45224395857308,,
421269793,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,495,-1,506,0,10,5292,3.45224395857308,,
421269771,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,14,5210,-1,5268,1,40,5292,3.45224395857308,,
421268687,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,12,4723,4815,4742,1,100,5292,3.45224395857308,,
421269250,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1521,1558,1569,1,10,5292,3.45224395857308,,
421269987,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1497,1558,1569,1,30,5292,3.45224395857308,,
421269774,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1533,1558,1569,1,10,5292,3.45224395857308,,
421269797,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1423,1604,1628,0,10,5292,3.45224395857308,,
421269770,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,14,5210,-1,5268,0,10,5292,3.45224395857308,,
421269795,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,2,610,-1,576,0,10,5292,3.45224395857308,,
421269586,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1545,1558,1569,1,10,5292,3.45224395857308,,
421269798,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1403,1494,1583,0,10,5292,3.45224395857308,,
421269796,20150330064500,20150330064500,1,phuketgazette.net,http://www.phuketgazette.net/phuket-lifestyle/Boating-Slinging-Singapore/56700,4,1403,1559,1583,0,10,5292,3.45224395857308,,
