GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
514422567,20160223000000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,11,2144,-1,2260,1,50,2357,-2.41935483870968,,
514422567,20160223000000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,11,2144,-1,2260,1,50,2393,-2.41935483870968,,
514486294,20160223034500,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,2,59,-1,228,1,100,2393,-2.41935483870968,,
514486294,20160223034500,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,2,59,-1,228,1,100,2357,-2.41935483870968,,
514521484,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,9,1949,-1,2017,1,100,2357,-2.41935483870968,,
514522584,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,262,319,285,1,80,2357,-2.41935483870968,,
514521950,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,371,262,359,1,80,2357,-2.41935483870968,,
514521484,20160223070000,20160223111500,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,4,771,-1,839,1,100,1200,-2.12765957446808,,
514521949,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,371,262,395,1,40,2393,-2.41935483870968,,
514521487,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,9,1949,1983,1959,1,100,2357,-2.41935483870968,,
514521952,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,369,273,393,0,10,2357,-2.41935483870968,,
514522584,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,262,319,285,1,80,2393,-2.41935483870968,,
514522699,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,273,369,357,0,20,2357,-2.41935483870968,,
514521950,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,371,262,359,1,80,2393,-2.41935483870968,,
514521150,20160223070000,20160223111500,1,dailymail.co.uk,http://www.dailymail.co.uk/news/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,-1,687,609,1,100,1200,-2.12765957446808,,
514521150,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,8,-1,1861,1784,1,100,2393,-2.41935483870968,,
514522697,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,273,317,283,0,20,2393,-2.41935483870968,,
514521949,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,371,262,395,1,40,2357,-2.41935483870968,,
514522586,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,3,262,371,359,1,80,2357,-2.41935483870968,,
514522688,20160223070000,20160223074500,1,timeslive.co.za,http://www.timeslive.co.za/world/2016/02/23/Singapore-archbishop-warns-flock-against-Madonna-concert,2,59,69,99,1,100,2357,-2.41935483870968,,
514522698,20160223070000,20160223074500,1,dailymail.co.uk,http://www.dailymail.co.uk/wires/afp/article-3459663/Singapore-archbishop-warns-flock-against-Madonna-concert.html,3,273,369,393,0,10,2393,-2.41935483870968,,
