GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
411158487,20150221113000,20150221141500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS-Singapore-Lee-Kuan-Yew-Hospitalized/id-2b8d7068f2a04dfb90c8ebe45c57be46,1,482,-1,509,1,50,771,-1.61290322580645,,
411158487,20150221113000,20150221134500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS-Singapore-Lee-Kuan-Yew-Hospitalized/id-fcb278859f2447a1a2a53dbad53333a6,2,478,-1,505,1,50,773,-1.58730158730159,,
411177532,20150221134500,20150221134500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS-Singapore-Lee-Kuan-Yew-Hospitalized/id-fcb278859f2447a1a2a53dbad53333a6,3,672,602,665,1,100,773,-1.58730158730159,,
411177532,20150221134500,20150221141500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS-Singapore-Lee-Kuan-Yew-Hospitalized/id-2b8d7068f2a04dfb90c8ebe45c57be46,2,676,606,669,1,100,771,-1.61290322580645,,
411254005,20150222000000,20150222060000,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS--Singapore-Lee%20Kuan%20Yew%20Hospitalized/id-8e9e02326b854b7781690c89292ff8d2,6,1152,1072,1145,1,50,1966,0.61538461538462,,
411295833,20150222043000,20150222060000,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS--Singapore-Lee%20Kuan%20Yew%20Hospitalized/id-8e9e02326b854b7781690c89292ff8d2,8,1882,-1,1916,1,70,1966,0.61538461538462,,
411295548,20150222043000,20150222060000,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-21-AS--Singapore-Lee%20Kuan%20Yew%20Hospitalized/id-8e9e02326b854b7781690c89292ff8d2,2,460,-1,487,1,50,1966,0.61538461538462,,
412327303,20150225200000,20150225200000,1,basearticles.com,http://www.basearticles.com/Article/58337/Choosing-to-Work-with-an-Expert-Witness-Singapore.html,9,1770,-1,1834,1,50,2899,0.19342359767892,,
412528400,20150226113000,20150226114500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-26-AS--Singapore-Lee%20Kuan%20Yew%20Hospitalized/id-4b1157f4136541d08c67ae401d6aaac4,8,1687,1704,1697,0,20,2947,0.59880239520958,,
412527690,20150226113000,20150226114500,1,ap.org,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-02-26-AS--Singapore-Lee%20Kuan%20Yew%20Hospitalized/id-4b1157f4136541d08c67ae401d6aaac4,7,1669,1602,1624,1,100,2947,0.59880239520958,,
