GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
717858464,20171226000000,20171226170000,1,news24xx.com,http://www.news24xx.com/read/news/4154/A-beautiful-model-from-Singapore-dies-after-suffering-bleeding-while-singing-with-very-high-voice-at-KTV,2,702,-1,741,0,40,2243,-3.57142857142857,,
717858464,20171226000000,20171226170000,1,news24xx.com,http://www.news24xx.com/read/news/4154/A-beautiful-model-from-Singapore-dies-after-suffering-bleeding-while-singing-with-very-high-voice-at-KTV,3,-1,1168,1221,0,20,2243,-3.57142857142857,,
717879470,20171226030000,20171226170000,1,news24xx.com,http://www.news24xx.com/read/news/4154/A-beautiful-model-from-Singapore-dies-after-suffering-bleeding-while-singing-with-very-high-voice-at-KTV,3,-1,1168,1163,0,20,2243,-3.57142857142857,,
717985494,20171226170000,20171226170000,1,news24xx.com,http://www.news24xx.com/read/news/4154/A-beautiful-model-from-Singapore-dies-after-suffering-bleeding-while-singing-with-very-high-voice-at-KTV,3,-1,1168,1262,0,20,2243,-3.57142857142857,,
