GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
571177799,20160820,MUSLIM,KERALA,4,10,1,-9.0452261306533,11.25,75.7667,"Kozhikode, Kerala, India",http://www.newsnow.in/news/-death-of-workers-was-due-to-negligence-
571217595,20160722,MUSLIM,DALIT,4,4,1,-6.77290836653386,23.0333,72.6167,"Ahmedabad, Gujarat, India",http://timesofindia.indiatimes.com/city/ahmedabad/Gau-rakshaks-made-teen-film-Una-flogging/articleshow/53792239.cms
569757666,20160816,MUSLIM,KING,4,8,1,1.70648464163823,23.0333,72.6167,"Ahmedabad, Gujarat, India",http://www.divyabhaskar.co.in/news/HNL-TRA-visit-this-beautiful-heritage-places-near-to-ahmedabad-known-as-adalaj-ni-vav-gu-5396765-PHO.html
570810190,20160819,ISLAMIC,ADEN,4,4,1,-4.7976011994003,12.9833,77.5833,"Bangalore, Karnataka, India",http://www.periodistadigital.com/religion/mundo/2016/08/19/salesiano-religion-secuestrado-uzhunnalil-misiones-salesianas.shtml
571094898,20160820,MUSLIM,HINDU,4,10,1,-3.92749244712991,29.15,78.2667,"Bijnor, Uttar Pradesh, India",http://aajtak.intoday.in/story/after-kairana-in-up-migrating-began-in-bijnaur-people-living-in-fear-1-883662.html
571094897,20160820,MUSLIM,POLICE,4,10,1,-3.92749244712991,29.4,77.2,"Kairana, Uttar Pradesh, India",http://aajtak.intoday.in/story/after-kairana-in-up-migrating-began-in-bijnaur-people-living-in-fear-1-883662.html
564886512,20160730,MUSLIM,DALIT,4,10,1,-6.78733031674208,23.0333,72.6167,"Ahmedabad, Gujarat, India",http://navbharattimes.indiatimes.com/state/gujarat/ahmedabad/1985-riots-accused-gets-court-call-after-31-years/articleshow/53462073.cms
564857616,20160730,ISLAMIC,CATHOLIC PRIEST,4,1,1,-4.8582995951417,10.0,76.5,"Kerala, Kerala, India",http://www.deccanchronicle.com/nation/current-affairs/300716/no-information-yet-on-whereabouts-of-father-tom-admits-government.html
564862043,20160730,ISLAMIC,KERALA,4,4,1,-8.0,10.0,76.5,"Kerala, Kerala, India",http://www.siasat.com/news/whereabouts-abducted-indian-priest-still-not-known-993686/
564862046,20160730,ISLAMIC,PRIEST,4,4,1,-8.0,10.0,76.5,"Kerala, Kerala, India",http://www.siasat.com/news/whereabouts-abducted-indian-priest-still-not-known-993686/
690806907,20170919,MUSLIM,BUDDHIST,4,10,1,-7.10659898477158,20.0,77.0,India,http://www.jagran.com/world/other-aung-san-suu-kyi-supports-indian-over-rohingya-issue-16733579.html
690707144,20170918,ISLAM,ACTIVIST,4,1,1,-6.10859728506788,10.9,75.9167,"Tirur, Kerala, India",http://indianexpress.com/article/india/kerala-10-months-after-son-killed-for-conversion-man-embraces-islam-4850160/
569019140,20160813,MUSLIM,KERALA,4,10,1,-9.32642487046632,11.25,75.7667,"Kozhikode, Kerala, India",http://www.newsnow.in/news/kerala-20-year-old-iuml-worker-hacked-to-death-in-kozhikode-no-suspects
542793222,20160522,MULLAH,KANDAHAR,4,2,1,-5.63380281690141,28.6,77.2,"New Delhi, Delhi, India",http://hindi.oneindia.com/news/international/taliban-leader-mullah-akhtar-mansour-likely-killed-in-us-drone-attack-379505.html
564945352,20160730,MUSLIM,HINDU,4,10,1,-5.34979423868313,20.0,77.0,India,http://haryana.punjabkesari.in/jind/news/haryana-burke-bain-terrorist-sadhvi-deva-thakur-498967
565014770,20160730,MUSLIM,MADHYA PRADESH,4,6,1,-5.71428571428571,28.5667,77.55,"Dadri, Uttar Pradesh, India",http://www.punemirror.in/news/india/Indian-intolerance-under-US-scanner/articleshow/53469175.cms
565014773,20160730,MUSLIM,BUFFALO,4,4,1,-5.71428571428571,28.5667,77.55,"Dadri, Uttar Pradesh, India",http://www.punemirror.in/news/india/Indian-intolerance-under-US-scanner/articleshow/53469175.cms
567215473,20160807,MUSLIM,COMMUNITY,4,4,1,-3.03030303030303,28.6,77.2,"New Delhi, Delhi, India",http://www.sharebazarnews.com/archives/52839
567222128,20160807,MUSLIM,DALIT,4,8,1,-3.87102574689985,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://www.deshbandhu.co.in/newsdetail/292905/1/20
556403617,20160704,AL QAEDA,EUROPE,4,6,1,-7.00179533213645,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://navbharattimes.indiatimes.com/india/al-qaida-asks-indians-to-launch-lone-wolf-operations-in-country/articleshow/53037870.cms
548637533,20160609,AL QAEDA,ISLAM,4,10,1,1.17647058823529,28.6,77.2,"New Delhi, Delhi, India",http://www.khaskhabar.com/picture-news/news-main-news-till-now-1-43559-KKN.html
548895086,20160609,MUSLIM,ASSAM,4,8,1,-2.55623721881391,33.9167,76.6667,"Kashmir, Jammu and Kashmir, India",http://naibaat.pk/archives/column/%D8%AE%D8%A7%D9%84%D8%B5%D8%AA%D8%A7%D9%86-%D8%AA%D8%AD%D8%B1%DB%8C%DA%A9-%D8%A7%DB%8C%DA%A9-%D9%85%D8%B1%D8%AA%D8%A8%DB%81-%D9%BE%DA%BE%D8%B1-%D8%B9%D8%B1%D9%88%D8%AC-%D9%BE%D8%B1
690592333,20170918,MUSLIM,MYANMAR,4,10,1,-8.75,27.0529,79.3583,"Manipur, Uttar Pradesh, India",https://www.bhaskar.com/news/NAT-NAN-al-qaeda-operative-arrests-in-delhi-5698062-NOR.html
690592334,20170918,MUSLIM,MYANMAR,4,10,1,-8.75,27.0529,79.3583,"Manipur, Uttar Pradesh, India",https://www.bhaskar.com/news/NAT-NAN-al-qaeda-operative-arrests-in-delhi-5698062-NOR.html
565147747,20160731,MUSLIM,GOVERNMENT,4,4,1,2.11081794195251,33.9167,76.6667,"Kashmir, Jammu and Kashmir, India",http://www.dailyausaf.com/story/118740
558506641,20160710,ISLAMIC,BAGHDAD,4,5,1,-6.15640599001664,20.0,77.0,India,http://www.christiantimes.com/article/isis-loses-quarter-of-its-iraq-syria-territory-in-18-months/58690.htm
558400075,20160710,MUSLIM,UNITED STATES,4,10,1,-10.9048723897912,20.0,77.0,India,http://www.ittefaq.com.bd/world-news/2016/07/10/75622.html
558478615,20160710,ISLAMIC,ISLAM,4,10,1,-5.35714285714286,17.3753,78.4744,"Hyderabad, Andhra Pradesh, India",http://hindi.economictimes.indiatimes.com/state/other-states/hyderabad/isis-demonising-islam-its-militants-are-dogs-of-hell-asaduddin-owaisi/articleshow/53127081.cms
547141167,20160604,MUSLIM,WEBSITE,4,6,1,-0.595238095238095,28.6,77.2,"New Delhi, Delhi, India",http://divyamarathi.bhaskar.com/news-ht/NAT-DEL-story-about-man-accused-of-designing-isis-flags-5340944-PHO.html
543217386,20160523,MUSLIM,POLICE,4,10,1,-4.53400503778338,19.2833,77.2667,"Malegaon, Maharashtra, India",http://www.kashmirmonitor.in/news-a-case-of-too-many-cases-104240.aspx
564690245,20160729,ISLAMIC,KERALA,4,8,2,-7.46880570409982,10.0,76.5,"Kerala, Kerala, India",http://www.newkerala.com/news/2016/fullnews-97632.html
564690251,20160729,ISLAMIC,PRIEST,4,8,2,-7.46880570409982,10.0,76.5,"Kerala, Kerala, India",http://www.newkerala.com/news/2016/fullnews-97632.html
567076307,20160806,MUSLIM,COMMUNITY,4,4,1,-3.03030303030303,28.6,77.2,"New Delhi, Delhi, India",http://www.banglamail24.com/news/165414
563261383,20160725,HAFIZ SAEED,LAHORE,4,4,1,-5.70469798657718,18.975,72.8258,"Mumbai, Maharashtra, India",http://navbharattimes.indiatimes.com/world/pakistan/hafiz-saeeds-jamaat-ud-dawa-medical-team-to-apply-for-indian-visa-to-travel-to-kashmir/articleshow/53380862.cms
547017703,20160604,MUSLIM,VILLAGE,4,10,1,-5.24271844660195,23.0333,72.6167,"Ahmedabad, Gujarat, India",http://punjabitribuneonline.com/2016/06/%E0%A8%97%E0%A9%81%E0%A8%B2%E0%A8%AC%E0%A8%B0%E0%A8%97-%E0%A8%95%E0%A9%87%E0%A8%B8-%E0%A8%A6%E0%A8%BE-%E0%A8%AB%E0%A8%BC%E0%A9%88%E0%A8%B8%E0%A8%B2%E0%A8%BE/
546833773,20160603,MUSLIM,POLICE,4,4,1,-4.31990659661412,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://www.openthemagazine.com/article/india/hate-wave-look-who-wants-a-riot
547347565,20160605,MUSLIM,WEBSITE,4,6,1,-0.595238095238095,28.6,77.2,"New Delhi, Delhi, India",http://divyamarathi.bhaskar.com/news-hf/NAT-DEL-story-about-man-accused-of-designing-isis-flags-5340944-PHO.html
547227889,20160604,MUSLIM,HINDU,4,10,1,-10.8474576271186,23.0333,72.6167,"Ahmadabad, Gujarat, India",http://www.asianimage.co.uk/news/14532110.Indian_court_convicts_24_suspects_for_2002_religious_riots/
544935650,20160528,MUSLIM,HINDU,4,6,1,-5.79374275782155,19.25,73.15,"Kalyan, Maharashtra, India",http://scroll.in/article/808788/reading-savarkar-how-a-hindutva-icon-justified-the-idea-of-rape-as-a-political-tool
553672799,20160624,ISLAMIC,SAUDI,4,7,1,-8.47457627118644,20.0,77.0,India,http://zeenews.india.com/news/world/shocking-islamic-state-linked-saudi-twin-brothers-attack-own-family-stab-mother_1899948.html
551584551,20160618,MUSLIM,ACTIVIST,4,10,1,-2.34042553191489,27.5738,79.558,"Jatpura, Uttar Pradesh, India",http://www.prameyanews7.com/en/jun2016/national/26212/Media-Statement-by-The-President-of-India-upon-the-conclusion-of-his-state-visit-to-Ghana-Cote-d&apos
561667404,20160720,ISLAMIC,NEW DELHI,4,2,1,-5.52763819095477,10.0,76.5,"Kerala, Kerala, India",http://www.sify.com/news/isis-abducted-kerala-priests-torture-footage-posted-on-facebook-news-national-qhumgQagidcfe.html
561667400,20160720,ISLAMIC,CATHOLIC PRIEST,4,2,1,-5.52763819095477,10.0,76.5,"Kerala, Kerala, India",http://www.sify.com/news/isis-abducted-kerala-priests-torture-footage-posted-on-facebook-news-national-qhumgQagidcfe.html
561663802,20160720,ISLAMIC,KOCHI,4,10,1,-5.55555555555556,10.0,76.5,"Kerala, Kerala, India",http://www.indiagazette.com/index.php/sid/245981817
561708905,20160720,ISLAMIC,KOCHI,4,10,1,-2.15633423180593,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.singaporestar.com/index.php/sid/245981817
