GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
689220645,20170913,MUSLIM,MUSLIM,MOS,MOS,10,1,30.3167,78.0333,"Dehradun, Uttaranchal, India",http://www.jagran.com/uttarakhand/dehradun-city-rally-in-support-of-rohingya-muslims-in-dehradun-16703379.html
689621878,20170914,ISLAM,GANG,MOS,,10,1,10.9,75.9167,"Tirur, Kerala, India",http://www.thehindu.com/news/national/kerala/rss-mans-murder-woman-held/article19686138.ece
689665986,20170914,ISLAMIC,YEMEN,MOS,,6,1,20.0,77.0,India,https://epicpew.com/father-tom-uzhunnalil-released-prison/
689368462,20170914,MUSLIM,,MOS,,4,1,28.0,76.0,"Hindustan, India (general), India",http://www.livehindustan.com/uttarakhand/dehradun/story-the-demonstration-of-muslim-society-against-oppression-on-rohingya-muslims-1504864.html
689368464,20170914,MUSLIM,HINDUSTAN,MOS,,4,1,28.0,76.0,"Hindustan, India (general), India",http://www.livehindustan.com/uttarakhand/dehradun/story-the-demonstration-of-muslim-society-against-oppression-on-rohingya-muslims-1504864.html
689913646,20170915,MUSLIM,UNITED NATIONS,MOS,,5,1,26.85,80.9167,"Lucknow, Uttar Pradesh, India",http://timesofindia.indiatimes.com/city/lucknow/all-religions-protest-held-at-lucknow-eidgah-against-myanmars-rohingya-crisis/articleshow/60701281.cms
689927451,20170915,MUSLIM,TERRORIST,MOS,,10,1,27.1667,78.0,"Idgah, Uttar Pradesh, India",http://www.tarunmitra.in/archives/21868
689913649,20170915,MUSLIM,TERRORIST,MOS,,5,1,26.85,80.9167,"Lucknow, Uttar Pradesh, India",http://timesofindia.indiatimes.com/city/lucknow/all-religions-protest-held-at-lucknow-eidgah-against-myanmars-rohingya-crisis/articleshow/60701281.cms
689879940,20170915,MUSLIM,,MOS,,10,1,20.0,77.0,India,http://www.1newsbd.com/2017/09/15/221768
689853722,20170915,MUSLIM,PRIEST,MOS,,5,1,21.5167,70.5333,"Gorakhnath, Gujarat, India",http://www.hindustantimes.com/lucknow/2007-gorakhpur-riot-hc-gives-up-govt-two-weeks-time-to-file-reply-to-plea-for-making-cm-party-in-case/story-zOniRRtOeoiVrBuObCsVZL.html
690000895,20170915,ISLAMIC,UNITED KINGDOM,MOS,,2,1,20.0,77.0,India,https://article.wn.com/view/2017/09/16/Islamic_State_claims_responsibility_for_London_underground_t/
689987643,20170915,MUSLIM,,MOS,,10,1,29.35,77.55,"Shahpur, Uttar Pradesh, India",http://www.amarujala.com/uttar-pradesh/muzaffarnagar/111505504030-muzaffarnagar-news
690000894,20170915,ISLAMIC,LONDON,MOS,,8,1,20.0,77.0,India,https://article.wn.com/view/2017/09/16/Islamic_State_claims_responsibility_for_London_underground_t/
690190180,20170916,MUSLIM,,MOS,,10,1,20.0,77.0,India,http://navbharattimes.indiatimes.com/india/india-has-right-to-develop-within-its-boundaries-amit-shah-on-chinas-objection/articleshow/60712273.cms
690166580,20170916,MUSLIM,,MOS,,10,1,32.0833,78.2167,"Spiti, Himachal Pradesh, India",http://www.prabhatkhabar.com/news/ranchi/amit-shah-bharatiya-janata-party-jharkhand-ranchi-china-rohingya-muslims-raghubar-das/1056140.html
690190179,20170916,MUSLIM,,MOS,,20,1,27.3833,75.9667,"Shahpura, Rajasthan, India",https://www.bhaskar.com/news/RAJ-OTH-MAT-latest-shahpura-news-135004-62481-NOR.html
690139543,20170916,MUSLIM,,MOS,,10,1,25.1833,85.5167,"Bihar, Bihar, India",http://www.samaylive.com/nation-news-in-hindi/385986/development-of-the-country-in-the-borders-of-our-country-is-our-universal-authority-amit-shah.html
