GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
544184738,20160526,JEWISH,,JEW,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.newburyportnews.com/news/lifestyles/holocaust-survivors-in-peabody-tell-their-stories-in-new-film/article_183bea35-f671-58f5-a40c-02b5ce5795d3.html
544302819,20160526,HINDU,THE US,HIN,,1,1,54.0,-2.0,United Kingdom,http://www.bangladeshsun.com/index.php/sid/244397123
545212336,20160529,JEWISH,,JEW,,4,1,54.0,-2.0,United Kingdom,http://www.therebel.media/israel_and_the_palestinians_what_the_media_won_t_report
545439967,20160530,JEWISH,,JEW,,4,2,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.chron.com/news/article/Holocaust-survivors-tell-their-stories-in-new-film-7952859.php
545275015,20160530,THE POPE,,CHR,,8,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.ancient-origins.net/comment/19557
545967587,20160601,JEWISH,,JEW,,3,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.femalefirst.co.uk/books/jemma-wayne-chains-of-sand-943589.html
547171344,20160604,THE POPE,,CHR,,6,1,54.0,-2.0,United Kingdom,http://www.elfagr.org/2162160
547263337,20160604,JEWISH,,JEW,,10,1,51.5,-1.25,"Berkshire, United Kingdom (general), United Kingdom",http://www.berkshireeagle.com/news/ci_29978279/holocaust-survivors-tell-their-stories-new-film
547171346,20160604,THE POPE,UNITED KINGDOM,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.elfagr.org/2162160
547250223,20160604,CHRISTIAN,,CHR,,5,1,54.0,-2.0,United Kingdom,https://www.hbu.edu/news-and-events/2016/04/08/god-suffering-atheists-crutch/
547547348,20160606,AMIT,,JEW,,20,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://pradeshtoday.com/newsdetails.php?news=Nehru-the-countrys-oldest-traditions-the-idea-of-building-quit-was-based-on:-Shah&nid=145011
548207165,20160608,HINDU PRIEST,BANGLADESH,HIN,,10,1,54.0,-2.0,United Kingdom,http://news.thaivisa.com/world/hindu-priest-hacked-to-death-in-bangladesh/144651/
548715096,20160609,SIKH,UNITED KINGDOM,SIK,,4,1,54.0,-2.0,United Kingdom,http://www.quamiekta.com/2016/06/09/32747/
548851764,20160609,JEWISH,,JEW,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.postandcourier.com/20160609/160609346/review-1927s-golem-a-feat-of-technology-satirizing-technology
549066280,20160610,CREATIVITY,JUDGE,NRM,,10,1,51.6014,-3.34472,"Pontypridd, Rhondda Cynon Taff, United Kingdom",http://www.walesonline.co.uk/whats-on/food-drink-news/mmm-doughnuts-pontypridd-coffee-shop-11453228
549251074,20160611,HINDU,BANGLADESH,HIN,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.themalaymailonline.com/world/article/hindu-monastery-worker-hacked-to-death-in-bangladesh
549251073,20160611,HINDU,BANGLADESH,HIN,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.themalaymailonline.com/world/article/hindu-monastery-worker-hacked-to-death-in-bangladesh
550240735,20160614,CATHOLIC,PROTESTANT,CHR,CHR,1,1,59.15,-2.61667,"Whitehall, Orkney Islands, United Kingdom",http://www.historyextra.com/article/military-history/britains-civil-wars-15-key-moments
550643440,20160615,AGNOSTIC,BRITISH,ATH,,10,1,54.0,-2.0,United Kingdom,http://www.modernfix.com/reviews/cdrivercityrebelscd/
550521206,20160615,JEWISH,UNITED KINGDOM,JEW,,2,1,51.5,-0.133333,"Buckingham Palace, Westminster, United Kingdom",http://www.newstatesman.com/politics/uk/2016/06/being-part-something-larger-states-and-empires-source-optimism-and-inspiration
550521204,20160615,JEWISH,,JEW,,1,1,51.5,-0.133333,"Buckingham Palace, Westminster, United Kingdom",http://www.newstatesman.com/politics/uk/2016/06/being-part-something-larger-states-and-empires-source-optimism-and-inspiration
552519876,20160621,HINDU,,HIN,,10,1,54.0,-2.0,United Kingdom,https://www.forwardpress.in/2016/06/an-intellectual-renaissance/
553209966,20160623,CATHOLIC,NIGERIA,CHR,CHR,4,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.crossmap.com/news/catholic-priest-kidnapped-in-nigeria-found-dead-28956
553209964,20160623,CATHOLIC,NIGERIA,CHR,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.crossmap.com/news/catholic-priest-kidnapped-in-nigeria-found-dead-28956
554542170,20160628,AMIT,,JEW,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.pradeshtoday.com/newsdetails.php?news=Shah-lashed-Akhilesh-government----&nid=147074
554530658,20160628,CHRISTIAN,MUSLIM,CHR,MOS,10,1,54.0,-2.0,United Kingdom,http://www.asianage.com/international/christian-woman-pakistan-stripped-assaulted-325
554853858,20160628,HINDU,SURAT,HIN,,1,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.liberalpartyofindia.sabhlokcity.com/communal/babri.html
555006681,20160629,ARCHPRIEST,,CHR,,6,1,54.0,-2.0,United Kingdom,http://ukrainianwall.com/ukraine/britanskie-deputaty-gotovyat-eshhe-odin-referendum/
555007042,20160629,UNITED KINGDOM,,CHR,,2,1,54.0,-2.0,United Kingdom,http://ukrainianwall.com/ukraine/britanskie-deputaty-gotovyat-eshhe-odin-referendum/
555006682,20160629,ARCHPRIEST,UNITED KINGDOM,CHR,,2,1,54.0,-2.0,United Kingdom,http://ukrainianwall.com/ukraine/britanskie-deputaty-gotovyat-eshhe-odin-referendum/
555502815,20160630,RAMAKRISHNA MISSION,,HIN,,10,1,54.0,-2.0,United Kingdom,http://www.bdmorning.com/%E0%A6%85%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%A7-%E0%A6%93-%E0%A6%86%E0%A6%87%E0%A6%A8/112929
555548907,20160630,CATHOLIC,VILLAGE,CHR,,2,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",http://www.rte.ie/centuryireland/index.php/articles/ireland-and-the-battle-of-the-somme
555596865,20160630,HINDU,,HIN,,10,1,54.0,-2.0,United Kingdom,http://newsmediabd24.com/?p=24066
555632151,20160701,CHRISTIAN,,CHR,,6,1,54.0,-2.0,United Kingdom,http://www.alaskahighwaynews.ca/jail-assault-part-of-epidemic-of-violence-at-kamloops-jail-lawyer-1.2292096
555845043,20160701,PROTESTANT,IRELAND,CHR,,1,1,54.5,-6.5,"Northern Ireland, Craigavon, United Kingdom",http://www.belfastlive.co.uk/news/belfast-news/belfast-marks-battle-somme-poignant-11553810
555687557,20160701,HINDU PRIEST,BANGLADESH,HIN,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://aninews.in/newsdetail4/story270224/hindu-priest-hacked-to-death-in-bangladesh.html
555632154,20160701,CHRISTIAN,UNITED KINGDOM,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.alaskahighwaynews.ca/jail-assault-part-of-epidemic-of-violence-at-kamloops-jail-lawyer-1.2292096
555845042,20160701,CATHOLIC,IRELAND,CHR,,1,1,54.5,-6.5,"Northern Ireland, Craigavon, United Kingdom",http://www.belfastlive.co.uk/news/belfast-news/belfast-marks-battle-somme-poignant-11553810
556181421,20160702,HINDU,HINDU PRIEST,HIN,HIN,2,1,54.0,-2.0,United Kingdom,http://www.abc.net.au/news/2016-07-03/bangladesh-pm-urges-islamist-extremists-end-religious-killings/7565088
